,Lower,Upper
betaR,0,1
RSV_detect_multiplier,1,5
betaI,0,1
Rdetect2,0,0.4
Rdetect5,0,0.4
Idetect,0,0.4
rho,Inf,0
sig,0,1
propR_1,0,Inf
propR_2,0,Inf
propR_3,0,Inf
propR_4,0,Inf
propR_5,0,Inf
propR_6,0,Inf
propR_7,0,Inf
propR_8,0,Inf
propR_9,0,Inf
propR_10,0,Inf
propR_11,0,Inf
inf_sus_1,0,0.7
inf_sus_2,0,0.7
inf_sus_3,0,0.7
inf_sus_4,0,0.7
inf_sus_5,0,0.7
inf_sus_6,0,0.7
inf_sus_7,0,0.7
inf_sus_8,0,0.7
inf_sus_9,0,0.7
inf_sus_10,0,0.7
inf_sus_11,0,0.7
propI_1,0,Inf
propI_2,0,Inf
propI_3,0,Inf
propI_4,0,Inf
propI_5,0,Inf
propI_6,0,Inf
propI_7,0,Inf
propI_8,0,Inf
propI_9,0,Inf
propI_10,0,Inf
propI_11,0,Inf
detect_multiplier,0,5